Biere de Mars,Jolly Pumpkin Artisan Ales,United States,British Ale,Old Ale,Hoppy and bitter,Chicken
Kerst Pater Special Christmas Beer,Brouwerij Van Den Bossche,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Zoetzuur Flemish Ale,De Proef Brouwerij,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
WPA (Wheat Pale Ale),Minneapolis Town Hall Brewery,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Smoked Hefe,Minneapolis Town Hall Brewery,United States,North American Lager,American-Style Lager,Clean and crisp,Pasta
The Unforgiven Amber Ale,Rush River Brewing,United States,North American Ale,American-Style Amber/Red Ale,Hoppy and bitter,Chicken
Strange Ghost,Brasserie Fantme,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Duke IPA,Granite City Food & Brewery - Omaha,United States,North American Ale,American-Style India Pale Ale,Hoppy and bitter,Chicken
Broad Axe Stout,Granite City Food & Brewery - Omaha,United States,North American Ale,American-Style Stout,Dark and roasty,Vegetables
Northern Light Lager,Granite City Food & Brewery - Omaha,United States,North American Lager,American-Style Lager,Clean and crisp,Pasta
Podge Belgian Imperial Stout,Alvinne Picobrouwerij,Belgium,North American Ale,American-Style Stout,Dark and roasty,Vegetables
Okocim Porter,Browar Okocim,Poland,Irish Ale,Porter,Dark and roasty,Burgers
1809,Doemens e.V.,Germany,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Pannepot,De Struise Brouwers,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Samurai,Great Divide Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Crystal Ale,Big Sky Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Gavroche French Red Ale,Brasserie De Saint Sylvestre,France,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Coney Island Lager,Shmaltz Enterprises,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
La Bire des Collines van de Saisis,Brasserie Ellezelloise,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Dark Beer / Stiftsbru,Brauerei Gss,Austria,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Lucirnaga,Jolly Pumpkin Artisan Ales,United States,Belgian and French Ale,Belgian-Style Pale Ale,Hoppy and bitter,Chicken
Cuve des Champions 2003-2004,Brasserie-Brouwerij Cantillon,Belgium,Belgian and French Ale,Belgian-Style Fruit Lambic,Varies,Desserts
Beer Geek Breakfast,Mikkeller,Denmark,North American Ale,American-Style Imperial Stout,Dark and roasty,Vegetables
Flemish Primitive Wild Ale (Spoon Whacker),De Proef Brouwerij,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Bock,Anchor Brewing,United States,German Lager,Traditional German-Style Bock,Malty and roasty,Steak
Double India Pale Ale,Mad River Brewing,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Old Bawdy 2006,Pike Pub and Brewery,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Extra Strong Vintage Ale,Coopers Brewery,Australia,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Certified Organic India Pale Ale,Eel River Brewing,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Certified Organic Porter,Eel River Brewing,United States,Irish Ale,Porter,Dark and roasty,Burgers
Certified Organic Extra Pale Ale,Eel River Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Certified Organic Amber Ale,Eel River Brewing,United States,North American Ale,American-Style Amber/Red Ale,Hoppy and bitter,Chicken
Farm House Ale,Jack Russell Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Beer Town Brown,BridgePort Brewing,United States,North American Ale,American-Style Brown Ale,Malty and sweet,Vegetarian
Tanners Jack,Morland and Co.,United Kingdom,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Mephistopheles Stout,Avery Brewing Company,United States,North American Ale,American-Style Stout,Dark and roasty,Vegetables
Maximator,Augustiner-Brau Munchen,Germany,German Lager,Traditional German-Style Bock,Malty and roasty,Steak
Vertical Epic 07.07.07,Stone Brewing Co.,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Ringwood Brewery Old Thumper Extra Special Ale,Shipyard Brewing - Portland,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Export Ale,Shipyard Brewing - Portland,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Bourbon Barrel Porter,Oregon Trail Brewery,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Old Guardian Barley Wine 2007,Stone Brewing Co.,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
White Christmas,Moylan's Brewery & Restaurant,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Winter,Brasserie de l'Abbaye Val-Dieu,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Undercover Investigation Shut-Down Ale,Lagunitas Brewing Company,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Harvest Ale 2006,JW Lees and Co (Brewers) Ltd.,United Kingdom,British Ale,Old Ale,Hoppy and bitter,Chicken
Classic Gueuze,Brasserie-Brouwerij Cantillon,Belgium,Belgian and French Ale,Belgian-Style Fruit Lambic,Varies,Desserts
Gueuze-Lambic,Upstream Brewing Company at Legacy,United States,Belgian and French Ale,Belgian-Style Fruit Lambic,Varies,Desserts
Schwarzbier / Dunkel,Einbecker Brauhaus AG,Germany,German Lager,German-Style Schwarzbier,Dark and roasty,Vegetables
Sawtooth Ale,Left Hand Brewing Company,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Pole Star Pilsner,Left Hand Brewing Company,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
90 Shilling,Odell Brewing,United States,British Ale,Scottish-Style Light Ale,Hoppy and bitter,Chicken
Sunshine Wheat,New Belgium Brewing,United States,Other Style,Light American Wheat Ale or Lager,Clean and crisp,Pasta
Grand Cru,Brasserie De L'Abbaye Des Rocs,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Der Weisse Bock,Bamberger Mahr's-Bru,Germany,German Ale,South German-Style Weizenbock,Malty and roasty,Steak
Stouterik / The Brussels Stout,Brasserie de la Senne,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Black Jack Porter,Left Hand Brewing Company,United States,Irish Ale,Porter,Dark and roasty,Burgers
Lunar Ale,Boulevard Brewing Company,United States,North American Ale,American-Style Brown Ale,Malty and sweet,Vegetarian
Denver Pale Ale / DPA,Great Divide Brewing,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Grotten Flemish Ale,Brouwerij St. Bernardus,Belgium,Belgian and French Ale,Other Belgian-Style Ales,Fruity and spicy,Seafood
Grand Cru,Upstream Brewing Old Market,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Summer Common,Empyrean Brewing Company,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Golden Ale,St Peter's Brewery,United Kingdom,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Ambree,Brasserie De L'Abbaye Des Rocs,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Pater 6,Brouwerij St. Bernardus,Belgium,Belgian and French Ale,Belgian-Style Dubbel,Fruity and sweet,Pork
Blanche de Namur,Brasserie du Bocq,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Skinny Dip,New Belgium Brewing,United States,North American Ale,Golden or Blonde Ale,Hoppy and bitter,Chicken
Blanche Double,Brasserie De L'Abbaye Des Rocs,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Summer Bright Ale,Breckenridge Brewery,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Mothership Wit,New Belgium Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Lia Fail Stone of Destiny Ale,Inveralmond Brewery,United Kingdom,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Premium XB Bluebird Bitter,Coniston Brewing,United Kingdom,British Ale,Classic English-Style Pale Ale,Varies,Cheese
IPA,Ridgeway Brewing,United Kingdom,North American Ale,American-Style India Pale Ale,Hoppy and bitter,Chicken
Houblon,Brasserie D'Achouffe,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Double Pilsner,Odell Brewing,United States,North American Lager,American-Style Lager,Clean and crisp,Pasta
Creamy Dark,Jacob Leinenkugel Brewing Company,United States,North American Lager,American-Style Lager,Clean and crisp,Pasta
Premium Pils Edelherb,Kulmbacher Brauerei AG,Germany,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Stvenbru Maibock,Gottberg Brew Pub,United States,German Lager,Traditional German-Style Bock,Malty and roasty,Steak
Jack of Spades Schwarzbier,Gottberg Brew Pub,United States,German Lager,German-Style Schwarzbier,Dark and roasty,Vegetables
Shiner Hefeweizen,Spoetzl Brewery,United States,German Ale,South German-Style Hefeweizen,Fruity and spicy,Seafood
Sapporo Premium Beer,Sleeman Brewing & Malting,Canada,North American Lager,American-Style Lager,Clean and crisp,Pasta
Dark German Lager,Empyrean Brewing Company,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Spring Heat Spiced Wheat,Anheuser-Busch,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Gose,Gasthaus & Gosebrauerei Bayerischer Bahnhof,Germany,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Pils,Spaten-Franziskaner-Bru,Germany,British Ale,Classic English-Style Pale Ale,Varies,Cheese
New,Tooheys,Australia,North American Lager,American-Style Lager,Clean and crisp,Pasta
Eisenbahn Defumada,Cervejaria Sudbrack,Brazil,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Eisenbahn Escura,Cervejaria Sudbrack,Brazil,German Lager,German-Style Schwarzbier,Dark and roasty,Vegetables
Eisenbahn Dourada,Cervejaria Sudbrack,Brazil,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Fallen Angel Sweet Stout,Empyrean Brewing Company,United States,North American Ale,American-Style Stout,Dark and roasty,Vegetables
Hot Shot ESB,Great Divide Brewing,United States,British Ale,Extra Special Bitter,Hoppy and bitter,Chicken
Porter,Bryggeriet lfabrikken,Denmark,Irish Ale,Porter,Dark and roasty,Burgers
Dunkel,Augustiner-Brau Munchen,Germany,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Edelstoff,Augustiner-Brau Munchen,Germany,British Ale,Classic English-Style Pale Ale,Varies,Cheese
